Seller,Open Orders,Completed Orders,Disputes Won,Disputes Lost,Rating
g3cko,15,146,2,0,9.5
Tactic,3,85,1,0,10
fraudsterelite,0,12,1,0,10
topnotchdrugz,10,96,0,1,9.6
leaguemode,0,0,0,0,0
Hackyboy,17,71,4,2,9.5
dumbakarahi,2,31,2,0,9.5
TheShop,2,18,0,0,9.8
Raperholic,5,33,0,0,9.7
victorviran,4,52,0,0,9.6
AmmaccaBanane2,0,2,0,0,10
C4rD1NGC0D3,4,1,0,0,10
DrWhit3,37,285,6,6,8.8
pornseller,0,12,0,0,10
enjoymyaccounts,1,72,0,0,9.9
accountheaven,0,5,0,0,10
